CATAID,LOGIT_CLASS(1-UVUP;0-UVWEAK),REDSHIFT,SERSIC_GALFIT,SERSIC_SEXTRACTOR
91580,0,0.1838,2.269,0.6632695
517682,0,0.07686,3.5035,1.739984
377167,0,0.27995,4.5144,1.459937
298139,0,0.0937,1.5735,0.6576785
289563,1,0.18732,3.6321,4.494247
623610,1,0.20665,4.4971,3.768109
323805,0,0.0961,5.9338,4.840155
64304,0,0.10452,3.6231,4.417762
70275,0,0.12782,3.8293,2.793793
70278,0,0.16679,3.9602,4.0654
220333,0,0.08135,4.3482,2.723386
228013,0,0.11731,4.4489,4.634145
230289,0,0.07957,4.4655,6.494167
574257,0,0.19301,5.9499,3.719515
396944,0,0.10126,4.7788,5.07301
560194,1,0.12583,2.3106,2.022695
23315,0,0.11178,3.8908,4.759139
318823,0,0.129,2.583,4.014037
273542,0,0.07536,3.5696,3.610803
617559,0,0.11344,3.8285,4.259211
387715,0,0.03884,3.3886,4.532494
512169,0,0.05462,4.751,5.675391
271481,0,0.11208,2.8436,1.938753
65214,0,0.0753,6.0995,5.659188
346888,1,0.05679,6.2551,7.416068
544430,0,0.10028,2.5294,3.279172
84533,0,0.22878,3.5795,1.125241
220502,0,0.02008,3.3429,3.906345
227607,1,0.05353,1.9226,0.5727471
485047,0,0.04771,3.8376,1.965653
220840,0,0.18852,6.0463,3.540144
31719,0,0.17755,4.6786,4.5072
39670,0,0.13578,4.381,4.112702
202366,0,0.21363,2.6795,2.574008
594187,1,0.13905,1.5202,1.216706
79810,0,0.04316,3.7801,5.893592
549219,0,0.15595,3.9033,2.676471
64129,0,0.21841,5.1328,3.991141
561983,0,0.12234,2.8335,2.005467
460616,1,0.12011,6.6676,6.361797
534971,0,0.0793,3.9621,6.366925
574512,0,0.10163,4.3064,6.231577
290323,0,0.0851,4.3656,4.569725
485127,1,0.08029,3.632,2.147012
525737,1,0.16786,3.5375,3.535022
196194,0,0.05086,7.0153,6.140347
301076,0,0.25385,6.4504,5.831781
594845,0,0.08569,3.3054,3.817651
301505,0,0.10922,3.0544,3.393144
301906,1,0.22068,3.5998,2.815404
320415,0,0.13855,5.8753,4.374659
214829,0,0.1102,3.3962,3.870486
348010,1,0.09206,1.4037,1.840105
202409,1,0.15945,3.7277,3.107952
618131,0,0.05312,4.4757,7.06399
145646,0,0.18671,2.4454,1.94096
220814,1,0.22109,8.7519,2.406856
544054,0,0.13939,4.4948,4.295153
320754,0,0.13736,4.8337,3.902837
347964,0,0.05661,3.0666,3.26394
584301,0,0.10766,3.6514,3.862868
378069,0,0.19323,4.0094,3.342924
386922,0,0.16024,5.9292,2.297274
83995,0,0.31071,0.5554,1.145944
318729,0,0.16645,5.0624,4.234104
485880,0,0.12151,6.4662,6.235955
273838,0,0.07667,3.1944,5.479604
251792,0,0.07272,3.0521,2.352358
505313,0,0.05483,6.178,4.899038
16567,0,0.07819,4.039,4.763505
186405,0,0.07455,4.4606,6.223468
202678,1,0.20193,3.3805,3.105494
228580,0,0.23837,2.1135,1.55005
31861,0,0.18175,5.8328,4.924465
320114,0,0.11944,3.8889,3.141341
23265,0,0.07795,4.0327,7.060574
77614,0,0.11636,4.412,5.045295
522076,0,0.06009,4.0055,3.366742
238650,1,0.19038,3.2837,2.094359
493838,0,0.04316,3.4652,4.248704
568084,0,0.12773,6.7478,7.144848
561231,0,0.20066,3.8354,3.554438
47152,0,0.08258,4.3154,5.189804
63955,0,0.13126,6.1908,4.580609
289301,0,0.19494,2.9029,4.246679
297325,0,0.18916,3.4715,1.696583
